Subject,Course_Type,Grade,Credit
LABORATORY I,Core,A-,4
ELECTRONICS,Core,A-,4
MATHEMATICAL PHYSICS,Core,A-,4
CLASSICAL MECHANICS,Core,B,4
QUANTUM MECHANICS I,Core,A-,4
CTSSM,PE,B,3
Electrodynamics,Core,B,4
Solid State Physics,Core,B,4
Laboratory II,Core,B,4
Applied Optics,Core,B-,4
Quantum Mechanics II,Core,B-,3
Group Theory,PE,Audit,3
Statistical Mechanics,Core,Audit,4
ATOMIC AND MOLECULAR PHYSICS,Core,B-,3
FIELD THEORY & QUANTUM ELECTR.,PE,A-,3
PROJECT I,Core,C,3
NUCLEAR AND PARTICLE PHYSICS,Core,A-,3
Advanced Laboratory,Core,B,4
