Current(A),Voltage(V)
-0.000000013,-0.000312
0.000999509,0.832204
0.001997789,0.847298
0.002996654,0.855941
0.003998298,0.864001
0.004997258,0.870358
0.005995908,0.87447
0.006997266,0.877823
0.007995844,0.880751
0.008997941,0.883276
0.009996977,0.885518
-0.000000015,-0.000311
-0.000000013,-0.993976
-0.000000016,-1.996798
-0.000000017,-2.995292
-0.000000016,-3.993532
-0.000000018,-4.991673
-0.000000705,-5.98996
-0.000999746,-6.067244
-0.002000866,-6.067317
-0.003002774,-6.07042
-0.004001733,-6.073515
-0.00500012,-6.076556
-0.006001681,-6.079587
-0.007000308,-6.082593
-0.007999232,-6.085577
-0.008997881,-6.088555
-0.009999708,-6.091537
